Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
10777164,خراب الدورة الدموية,رياض الصالح الحسين,"الحسين, رياض الصالح",,"=""""","=""""",0,3.81,مطابع وزارة الثقافة - دمشق ,Paperback,126,1979,1979,,2015/01/26,to-read,to-read (#16),to-read,,,,0,,,0,,,,,
10777265,وعل في الغابة,رياض الصالح الحسين,"الحسين, رياض الصالح",,"=""""","=""""",0,4.13,منشورات وزارة الثقافة و الإرشاد القومي - دمشق ,Unknown Binding,70,1983,1983,,2015/01/26,to-read,to-read (#15),to-read,,,,0,,,0,,,,,
10777207,أساطير يوميَّة,رياض الصالح الحسين,"الحسين, رياض الصالح",,"=""""","=""""",0,3.56,مطابع وزارة الثقافة - دمشق ,Unknown Binding,60,1980,1980,,2015/01/26,to-read,to-read (#14),to-read,,,,0,,,0,,,,,
17336455,حتى أتخلى عن فكرة البيوت,إيمان مرسال,"مرسال, إيمان",,"=""9789772834""","=""""",0,3.33,شرقيات، التنوير,Paperback,88,2013,2013,,2015/01/26,to-read,to-read (#13),to-read,,,,0,,,0,,,,,
5894910,سأم باريس,Charles Baudelaire,"Baudelaire, Charles","شارل بودلير, بشير السباعي","=""""","=""""",0,4.28,منشورات الجمل,Paperback,160,2007,1869,,2015/01/26,to-read,to-read (#12),to-read,,,,0,,,0,,,,,
6203243,الحزن يميل للممازحة,محمد مستجاب,"مستجاب, محمد",,"=""9774193776""","=""""",0,3.54,الهيئة المصرية العامة للكتاب ودار مصر المحروسة,Paperback,244,2006,2006,,2015/01/26,to-read,to-read (#11),to-read,,,,0,,,0,,,,,
7882218,كتاب اللاطمأنينة,Fernando Pessoa,"Pessoa, Fernando",المهدي أخريف,"=""9774378318""","=""9789774378317""",0,4.43,المركز القومى للترجمة - القاهرة,Paperback,476,2008,1982,,2015/01/26,to-read,to-read (#10),to-read,,,,0,,,0,,,,,
11845422,رسائل فرناندو بيسوا إلى حبيبته,Fernando Pessoa,"Pessoa, Fernando",عبد الوهاب الملوح,"=""""","=""""",0,2.79,,,24,,,,2015/01/26,to-read,to-read (#9),to-read,,,,0,,,0,,,,,
11759492,الغابة النرويجية,Haruki Murakami,"Murakami, Haruki",سعيد الغانمي,"=""""","=""""",0,4.03,المركز الثقافي العربي,Paperback,398,2008,1987,,2015/01/26,to-read,to-read (#8),to-read,,,,0,,,0,,,,,
6725912,ألم خفيف كريشة طائر تتنقل بهدوء من مكان لآخر,علاء خالد,"خالد, علاء",,"=""9770926566""","=""9789770926567""",0,3.77,دار الشروق,Paperback,378,2009,2009,,2015/01/26,to-read,to-read (#7),to-read,,,,0,,,0,,,,,
